A45_001,liiname1,liiage1,volha1,liiname2,liiage2,volha2,liiname3,liiage3,volha3,mapcode
00500012000000027001700,chamobtu,57,94.26048565121413,crypjapo,57,94.26048565121413,NA,NA,NA,1
00500012000000027001800,crypjapo,50,87.19397363465161,chamobtu,50,87.19397363465161,NA,NA,NA,2
00500012000000027005301,chamobtu,55,122.93333333333334,NA,NA,NA,NA,NA,NA,3
00500012000000027001900,NA,NA,NA,querserr,58,16.74123788217748,pinudens,58,16.74123788217748,4
00500012000000027002201,crypjapo,58,93.82284382284382,chamobtu,58,93.82284382284382,pinudens,58,93.82284382284382,5
00500012000000027002100,NA,NA,NA,crypjapo,55,71.28325508607199,chamobtu,55,71.28325508607199,6
00500012000000027101100,NA,NA,NA,querserr,58,27.280477408354646,NA,NA,NA,7
00500012000000027101000,chamobtu,62,74.7276688453159,NA,NA,NA,pinudens,62,74.7276688453159,8
00500012000000027000800,chamobtu,49,79.83193277310924,NA,NA,NA,NA,NA,NA,9
00500012000000027001000,crypjapo,42,95.09803921568626,NA,NA,NA,NA,NA,NA,10
00500012000000027000900,crypjapo,57,99.94058229352346,chamobtu,57,99.94058229352346,NA,NA,NA,11
00500012000000027000701,chamobtu,45,73.23232323232322,NA,NA,NA,NA,NA,NA,12
00500012000000027000702,chamobtu,44,77.14285714285715,crypjapo,44,77.14285714285715,NA,NA,NA,13
00500012000000027000601,chamobtu,111,129.2433537832311,crypjapo,111,129.2433537832311,NA,NA,NA,14
00500012000000027001300,chamobtu,46,79.75260416666667,crypjapo,46,79.75260416666667,NA,NA,NA,15
00500012000000027002300,NA,NA,NA,pinudens,58,39.93055555555556,NA,NA,NA,16
00500012000000027001100,chamobtu,93,98.85057471264368,crypjapo,93,98.85057471264368,NA,NA,NA,17
00500012000000027000602,chamobtu,111,114.39393939393939,crypjapo,111,114.39393939393939,NA,NA,NA,18
00500012000000027002000,chamobtu,56,81.98198198198197,NA,NA,NA,NA,NA,NA,19
00500012000000026800100,NA,NA,NA,pinudens,67,31.746031746031747,NA,NA,NA,20
00500012000000026800300,chamobtu,51,76.08695652173913,NA,NA,NA,NA,NA,NA,21
00500012000000026800400,chamobtu,60,89.937106918239,crypjapo,60,89.937106918239,NA,NA,NA,22
00500012000000026800200,crypjapo,65,100,chamobtu,65,100,NA,NA,NA,23
00500012000000026800502,chamobtu,51,82.4074074074074,NA,NA,NA,NA,NA,NA,24
00500012000000026800501,chamobtu,51,89.12280701754388,crypjapo,51,89.12280701754388,NA,NA,NA,25
00500012000000027001400,chamobtu,45,72.29832572298325,NA,NA,NA,NA,NA,NA,26
00500012000000027001501,NA,NA,NA,chamobtu,44,15.15151515151515,NA,NA,NA,27
00500012000000027001503,NA,NA,NA,querserr,44,12.5,NA,NA,NA,28
00500012000000027000500,chamobtu,58,84.84848484848484,NA,NA,NA,NA,NA,NA,29
00500012000000027001600,NA,NA,NA,crypjapo,50,12.499999999999998,NA,NA,NA,30
00500012000000027001501,NA,NA,NA,chamobtu,44,15.15151515151515,NA,NA,NA,31
00500012000000027000301,crypjapo,84,75.75757575757576,NA,NA,NA,NA,NA,NA,32
00500012000000027001502,NA,NA,NA,chamobtu,44,5.555555555555556,NA,NA,NA,33
00500012000000027000400,crypjapo,111,104.369918699187,chamobtu,111,104.369918699187,NA,NA,NA,34
00500012000000027000200,chamobtu,56,93.36219336219335,crypjapo,56,93.36219336219335,NA,NA,NA,35
00500012000000027000100,crypjapo,60,108.55855855855856,NA,NA,NA,NA,NA,NA,36
00500012000000027002202,crypjapo,58,82.28571428571429,chamobtu,58,82.28571428571429,NA,NA,NA,37
00500012000000027000302,crypjapo,84,69.6078431372549,NA,NA,NA,pinudens,84,69.6078431372549,38
00500012000000027000100,crypjapo,60,108.55855855855856,NA,NA,NA,NA,NA,NA,39
00500012000000027002100,NA,NA,NA,crypjapo,55,71.28325508607199,chamobtu,55,71.28325508607199,40
00500012000000026800600,chamobtu,53,88.68940754039498,crypjapo,53,88.68940754039498,NA,NA,NA,41
00500012000000026800600,chamobtu,53,88.68940754039498,crypjapo,53,88.68940754039498,NA,NA,NA,42
00500012000000026801301,NA,NA,NA,pinudens,84,23.484848484848484,NA,NA,NA,43
00500012000000026802000,chamobtu,85,104.34782608695652,crypjapo,85,104.34782608695652,NA,NA,NA,44
00500012000000026801400,chamobtu,38,56.58914728682171,NA,NA,NA,NA,NA,NA,45
00500012000000026801900,chamobtu,43,70,NA,NA,NA,NA,NA,NA,46
00500012000000026802000,chamobtu,85,104.34782608695652,crypjapo,85,104.34782608695652,NA,NA,NA,47
00500012000000026801800,chamobtu,50,87.001287001287,crypjapo,50,87.001287001287,NA,NA,NA,48
00500012000000026801301,NA,NA,NA,pinudens,84,23.484848484848484,NA,NA,NA,49
00500012000000026802701,chamobtu,40,66.66666666666667,NA,NA,NA,NA,NA,NA,50
00500012000000026801701,chamobtu,48,86.55692729766804,crypjapo,48,86.55692729766804,NA,NA,NA,51
00500012000000026801001,crypjapo,65,100.5722460658083,NA,NA,NA,chamobtu,65,100.5722460658083,52
00500012000000026801002,crypjapo,65,105.83333333333333,chamobtu,65,105.83333333333333,NA,NA,NA,53
00500012000000026802702,chamobtu,40,68.05555555555556,NA,NA,NA,NA,NA,NA,54
00500012000000026800700,NA,NA,NA,chamobtu,77,62.06896551724139,NA,NA,NA,55
00500012000000027201300,chamobtu,46,79.16666666666667,NA,NA,NA,NA,NA,NA,56
00500012000000026800800,crypjapo,63,74.87562189054727,chamobtu,63,74.87562189054727,NA,NA,NA,57
00500012000000026800503,chamobtu,51,88.68008948545861,crypjapo,51,88.68008948545861,NA,NA,NA,58
00500012000000027201401,chamobtu,55,92.67399267399266,crypjapo,55,92.67399267399266,NA,NA,NA,59
00500012000000027201000,crypjapo,68,104.02010050251256,chamobtu,68,104.02010050251256,NA,NA,NA,60
00500012000000027100300,chamobtu,148,77.3109243697479,crypjapo,148,77.3109243697479,NA,NA,NA,61
00500012000000027200900,chamobtu,55,88.78160919540231,crypjapo,55,88.78160919540231,NA,NA,NA,62
00500012000000027201402,chamobtu,55,77.77777777777779,crypjapo,55,77.77777777777779,NA,NA,NA,63
00500012000000026901502,crypjapo,80,109.33333333333333,chamobtu,80,109.33333333333333,NA,NA,NA,64
00500012000000026800900,chamobtu,78,83.33333333333334,crypjapo,78,83.33333333333334,NA,NA,NA,65
00500012000000026901400,chamobtu,47,87.65088207985144,crypjapo,47,87.65088207985144,NA,NA,NA,66
00500012000000026901501,chamobtu,18,14.942528735632186,crypjapo,18,14.942528735632186,NA,NA,NA,67
00500012000000026901101,chamobtu,62,90.49019607843138,NA,NA,NA,crypjapo,62,90.49019607843138,68
00500012000000027200800,crypjapo,60,93.29896907216495,chamobtu,60,93.29896907216495,pinudens,60,93.29896907216495,69
00500012000000027200600,crypjapo,66,104.4349070100143,NA,NA,NA,chamobtu,66,104.4349070100143,70
