MapCode,SpeciesName,CohortAge,CohortBiomass
1,chamobtu,57,4792.203090507726
1,crypjapo,57,3594.152317880795
2,crypjapo,50,3324.7062146892663
2,chamobtu,50,4432.9416195856875
3,chamobtu,55,6249.930666666667
4,querserr,58,1307.8255033557048
4,pinudens,58,926.6275167785235
5,crypjapo,58,3577.4650349650356
5,chamobtu,58,4769.95337995338
5,pinudens,58,5193.0944055944055
6,crypjapo,55,2718.030516431925
6,chamobtu,55,3624.0406885759007
7,querserr,58,2131.150895140665
8,chamobtu,62,3799.1546840958604
8,pinudens,62,4136.176470588235
9,chamobtu,49,4058.655462184874
10,crypjapo,42,3626.0882352941167
11,crypjapo,57,3810.7344028520497
11,chamobtu,57,5080.979203802732
12,chamobtu,45,3723.1313131313123
13,chamobtu,44,3921.9428571428575
13,crypjapo,44,2941.4571428571435
14,chamobtu,111,6570.732106339469
14,crypjapo,111,4928.049079754602
15,chamobtu,46,4054.622395833334
15,crypjapo,46,3040.966796875
16,pinudens,58,2210.15625
17,chamobtu,93,5025.563218390804
17,crypjapo,93,3769.1724137931037
18,chamobtu,111,5815.787878787879
18,crypjapo,111,4361.840909090909
19,chamobtu,56,4167.963963963964
20,pinudens,67,1757.1428571428576
21,chamobtu,51,3868.2608695652175
22,chamobtu,60,4572.40251572327
22,crypjapo,60,3429.3018867924534
23,crypjapo,65,3813
23,chamobtu,65,5084
24,chamobtu,51,4189.592592592592
25,chamobtu,51,4531.00350877193
25,crypjapo,51,3398.252631578948
26,chamobtu,45,3675.646879756469
27,chamobtu,44,770.3030303030301
28,querserr,44,976.5
29,chamobtu,58,4313.696969696969
30,crypjapo,50,476.62499999999994
31,chamobtu,44,770.3030303030301
32,crypjapo,84,2888.636363636364
33,chamobtu,44,282.4444444444445
34,crypjapo,111,3979.625000000001
34,chamobtu,111,5306.166666666666
35,chamobtu,56,4746.53391053391
35,crypjapo,56,3559.900432900433
36,crypjapo,60,4139.3378378378375
37,crypjapo,58,3137.554285714286
37,chamobtu,58,4183.405714285715
38,crypjapo,84,2654.1470588235293
38,pinudens,84,3852.7941176470595
39,crypjapo,60,4139.3378378378375
40,crypjapo,55,2718.030516431925
40,chamobtu,55,3624.0406885759007
41,chamobtu,53,4508.969479353681
41,crypjapo,53,3381.727109515261
42,chamobtu,53,4508.969479353681
42,crypjapo,53,3381.727109515261
43,pinudens,84,1299.8863636363635
44,chamobtu,85,5305.043478260869
44,crypjapo,85,3978.7826086956525
45,chamobtu,38,2876.9922480620157
46,chamobtu,43,3558.8
47,chamobtu,85,5305.043478260869
47,crypjapo,85,3978.7826086956525
48,chamobtu,50,4423.145431145431
48,crypjapo,50,3317.359073359073
49,pinudens,84,1299.8863636363635
50,chamobtu,40,3389.333333333333
51,chamobtu,48,4400.554183813443
51,crypjapo,48,3300.415637860082
52,crypjapo,65,3834.81974248927
52,chamobtu,65,5113.092989985695
53,crypjapo,65,4035.4249999999993
53,chamobtu,65,5380.566666666665
54,chamobtu,40,3459.9444444444443
55,chamobtu,77,3155.586206896552
56,chamobtu,46,4024.833333333334
57,crypjapo,63,2855.0074626865676
57,chamobtu,63,3806.676616915423
58,chamobtu,51,4508.495749440715
58,crypjapo,51,3381.371812080537
59,chamobtu,55,4711.545787545786
59,crypjapo,55,3533.6593406593406
60,crypjapo,68,3966.2864321608045
60,chamobtu,68,5288.381909547739
61,chamobtu,148,3930.487394957983
61,crypjapo,148,2947.865546218488
62,chamobtu,55,4513.657011494253
62,crypjapo,55,3385.24275862069
63,chamobtu,55,3954.2222222222226
63,crypjapo,55,2965.6666666666674
64,crypjapo,80,4168.879999999999
64,chamobtu,80,5558.506666666667
65,chamobtu,78,4236.666666666667
65,crypjapo,78,3177.5000000000005
66,chamobtu,47,4456.170844939647
66,crypjapo,47,3342.1281337047353
67,chamobtu,18,759.6781609195403
67,crypjapo,18,569.7586206896553
68,chamobtu,62,4600.521568627451
68,crypjapo,62,3450.391176470588
69,crypjapo,60,3557.48969072165
69,chamobtu,60,4743.319587628866
69,pinudens,60,5164.09793814433
70,crypjapo,66,3982.1030042918446
70,chamobtu,66,5309.470672389127
71,pinudens,72,2793.0703624733474
71,querserr,72,3942.089552238806
72,pinudens,92,4231.2
73,crypjapo,58,3521.2558795860778
73,chamobtu,58,4695.0078394481025
73,pinudens,58,5111.5004703668865
74,chamobtu,58,4860.527472527473
75,pinudens,58,3004.714285714286
76,chamobtu,36,3074.046511627907
76,crypjapo,36,2305.534883720931
77,crypjapo,61,3915.801470588235
77,chamobtu,61,5221.06862745098
78,chamobtu,59,4470.854271356783
79,chamobtu,66,4677.280000000001
79,crypjapo,66,3507.96
80,crypjapo,66,3736.7400000000002
80,chamobtu,66,4982.320000000001
80,pinudens,66,5424.3
81,crypjapo,66,3134.8750000000005
81,chamobtu,66,4179.833333333334
82,chamobtu,42,3071.5833333333335
83,chamobtu,58,4572.244224422441
83,crypjapo,58,3429.1831683168325
84,chamobtu,55,4687.375886524822
84,crypjapo,55,3515.531914893617
85,chamobtu,55,4168.490421455939
85,crypjapo,55,3126.3678160919544
86,crypjapo,60,3609.9408284023666
86,chamobtu,60,4813.254437869822
86,pinudens,60,5240.236686390533
87,crypjapo,63,3762.8888888888896
87,chamobtu,63,5017.185185185186
88,pinudens,90,3226.39668367347
89,crypjapo,63,4194.3
90,chamobtu,85,5291.510204081633
90,crypjapo,85,3968.632653061224
91,crypjapo,50,3562.144736842106
91,chamobtu,50,4749.526315789472
92,crypjapo,48,3622.3500000000004
92,chamobtu,48,4829.799999999999
93,pinudens,84,1315.4166666666667
94,chamobtu,113,6376.183333333334
94,crypjapo,113,4782.1375
95,crypjapo,49,3273.7878787878785
95,chamobtu,49,4365.050505050505
96,chamobtu,49,4554.09667673716
96,crypjapo,49,3415.5725075528703
97,chamobtu,113,6540.354166666668
97,crypjapo,113,4905.265625000001
98,chamobtu,37,2948.72
99,chamobtu,59,4609.493333333333
99,crypjapo,59,3457.120000000001
100,crypjapo,65,3857.858823529412
100,chamobtu,65,5143.8117647058825
101,crypjapo,80,3504.3285714285716
101,chamobtu,80,4672.438095238096
102,chamobtu,62,5305.043478260869
102,crypjapo,62,3978.7826086956525
103,crypjapo,80,3849.5755395683454
103,chamobtu,80,5132.767386091126
104,chamobtu,56,4572.40251572327
105,crypjapo,66,3849.663461538461
105,chamobtu,66,5132.884615384615
106,crypjapo,80,4030.1291666666675
106,chamobtu,80,5373.505555555556
107,chamobtu,62,4722.841530054645
108,chamobtu,62,4390.141045154744
108,crypjapo,62,3292.6057838660577
109,chamobtu,62,4534.089225589226
109,crypjapo,62,3400.5669191919196
110,crypjapo,62,3520.652173913044
110,chamobtu,62,4694.202898550724
111,chamobtu,80,5761.866666666667
112,crypjapo,62,3597.6361111111114
112,chamobtu,62,4796.848148148148
113,querserr,6,412.829268292683
114,crypjapo,62,3703.6106557377047
114,chamobtu,62,4938.147540983606
115,chamobtu,62,3135.133333333333
116,querserr,6,173.6
117,crypjapo,62,3703.6106557377047
117,chamobtu,62,4938.147540983606
118,chamobtu,35,2322.24
119,chamobtu,40,3138.271604938271
120,crypjapo,62,3761.611859838275
120,chamobtu,62,5015.482479784367
121,crypjapo,62,3870.9112709832134
121,chamobtu,62,5161.215027977617
122,chamobtu,38,2965.666666666667
123,chamobtu,62,3439.5456790123458
123,crypjapo,62,2579.6592592592597
124,chamobtu,57,2990.588235294117
124,crypjapo,57,2242.9411764705883
125,crypjapo,26,2118.3333333333335
126,querserr,62,2482.48
127,crypjapo,25,889.6999999999998
128,chamobtu,57,2990.588235294117
128,crypjapo,57,2242.9411764705883
129,chamobtu,26,869.4376811594203
129,crypjapo,26,652.0782608695653
130,crypjapo,57,3813
130,chamobtu,57,5084
131,crypjapo,57,3624.445054945055
131,chamobtu,57,4832.593406593405
132,chamobtu,62,4810.403212851406
132,crypjapo,62,3607.802409638554
132,pinudens,62,5237.132530120482
133,crypjapo,62,3657.4894117647054
133,chamobtu,62,4876.652549019608
133,pinudens,62,5309.258823529412
134,crypjapo,62,726.2857142857144
135,chamobtu,62,3829.946666666666
136,chamobtu,62,4535.130348258706
136,crypjapo,62,3401.3477611940298
137,chamobtu,57,1186.2666666666667
138,chamobtu,57,2636.1481481481483
139,chamobtu,17,275.55555555555554
140,chamobtu,25,761.822629969419
140,crypjapo,25,571.3669724770642
141,chamobtu,17,222.2513661202186
142,crypjapo,63,3638.549019607842
142,chamobtu,63,4851.398692810458
142,pinudens,63,5281.764705882353
143,chamobtu,45,4097.75956284153
143,crypjapo,45,3073.3196721311474
144,chamobtu,73,4202.773333333333
144,crypjapo,73,3152.08
145,crypjapo,66,3258.9743589743584
145,chamobtu,66,4345.2991452991455
146,chamobtu,56,4447.047096479196
146,crypjapo,56,3335.285322359396
147,chamobtu,88,4301.846153846153
148,chamobtu,60,4005.575757575757
149,chamobtu,59,4471.469879518071
150,crypjapo,117,4067.2000000000007
150,chamobtu,117,5422.933333333333
151,chamobtu,63,2743.746031746032
151,crypjapo,63,2057.809523809524
152,crypjapo,63,2007.6022727272732
152,chamobtu,63,2676.80303030303
153,pinudens,90,2878.2000000000007
154,crypjapo,117,4321.4000000000005
154,chamobtu,117,5761.866666666667
155,chamobtu,57,5977.551515151514
155,crypjapo,57,4483.163636363636
156,chamobtu,36,1412.2222222222222
157,chamobtu,62,4139.185840707964
157,crypjapo,62,3104.3893805309735
158,crypjapo,82,363.1428571428572
159,crypjapo,84,4109.566666666667
160,pinudens,148,2144.1891891891896
161,chamobtu,70,4236.666666666666
162,chamobtu,72,4301.846153846153
162,crypjapo,72,3226.3846153846152
162,pinudens,72,4683.461538461539
163,chamobtu,65,4683.2342342342345
163,crypjapo,65,3512.4256756756763
164,chamobtu,57,4511.477477477477
165,crypjapo,65,3772.1880733944963
165,chamobtu,65,5029.584097859327
166,crypjapo,63,3050.4
166,chamobtu,63,4067.2000000000003
167,chamobtu,72,3344.736842105264
167,crypjapo,72,2508.552631578948
167,pinudens,72,3641.4473684210525
168,pinudens,148,2490.75
169,crypjapo,62,1846.5471698113208
169,chamobtu,62,2462.0628930817606
170,chamobtu,62,2909.177777777778
170,crypjapo,62,2181.8833333333337
171,crypjapo,65,3851.5151515151524
171,chamobtu,65,5135.353535353535
172,pinudens,138,2180.454545454546
173,chamobtu,65,5012.538152610442
173,crypjapo,65,3759.403614457831
174,crypjapo,84,4473.920000000001
174,chamobtu,84,5965.2266666666665
175,crypjapo,66,4223.000000000001
176,chamobtu,65,4830.37641723356
176,crypjapo,65,3622.7823129251706
177,chamobtu,47,4118.222222222223
177,crypjapo,47,3088.666666666667
178,chamobtu,65,4841.904761904762
178,crypjapo,65,3631.428571428572
179,pinudens,148,2689.906542056075
180,crypjapo,48,3595.889679715303
180,chamobtu,48,4794.519572953737
181,crypjapo,96,2609.1894273127755
181,pinudens,96,3787.533039647578
182,chamobtu,72,4601.777777777778
182,crypjapo,72,3451.333333333334
183,chamobtu,37,2982.6133333333332
184,crypjapo,66,4240.989795918368
185,chamobtu,46,3973.701149425287
185,crypjapo,46,2980.2758620689656
186,chamobtu,37,2824.4444444444443
187,chamobtu,47,4342.583333333334
187,crypjapo,47,3256.9375
